cust_id	acct_type	acct_nbr	acct_start_date	acct_end_date
1	CC	4.56114E+15	11/28/1995	?
2	CK	13625512	9/18/1995	9/18/1995
3	CC	4.56114E+15	1/11/1991	?
4	SV	13625493	3/22/1993	?
5	SV	13624863	7/13/1989	?
6	CC	4.56114E+15	8/16/1990	9/18/1995
7	CK	13624862	8/24/1994	?
8	CK	13625002	12/4/1995	?
1362489	SV	13624893	9/13/1993	?
1362503	CK	13625032	9/1/1994	9/18/1995
9	CC	4.56114E+15	7/31/1994	?
1362489	CK	13624892	10/19/1993	?
1362605	SV	13626053	3/26/1994	?
10	SV	13624983	9/15/1995	?
1362672	CC	4.56114E+15	8/14/1995	?
1362650	SV	13626503	4/5/1995	9/18/2002
11	SV	13625003	12/8/1995	9/18/2007
1362498	CK	13624982	2/12/1995	9/18/1997
12	CK	13626722	12/18/1995	?
1362605	CK	13626052	5/21/1994	9/18/2005
